Date,Open,High,Low,Close,Adj Close,Volume
6/19/13,15.28,16.25,15.2,15.8,14.080897,31981500
6/20/13,16.370001,16.370001,15.25,15.3,13.635301,9274200
6/21/13,15.7,15.8,15.4,15.62,13.92048,8323500
6/24/13,15.64,15.84,15.2,15.53,13.840273,4279700
6/25/13,15.55,15.74,15.35,15.72,14.0096,3577300
6/26/13,15.69,15.69,15.18,15.4,13.724418,14755100
6/27/13,15.34,15.87,14.85,15.5,13.813536,12121700
6/28/13,15.5,15.77,15.25,15.25,13.590737,16988100
7/1/13,14.79,15.59,14.75,14.79,13.180791,25839400
7/2/13,14.69,15.12,14.69,15,13.367941,30520100
7/3/13,14.95,15.09,14.73,14.87,13.252084,8542600
7/5/13,14.95,15.95,14.89,15.66,13.956129,12427000
7/8/13,15.63,16.040001,15.5,15.96,14.223488,15345100
7/9/13,15.79,15.97,15.5,15.71,14.000689,9936400
7/10/13,15.5,15.57,15.15,15.39,13.715508,16327000
7/11/13,15.6,15.6,14.96,15.13,13.483795,17029600
7/12/13,15.07,15.12,14.9,14.93,13.305554,10426300
7/15/13,14.93,15.03,14.39,14.67,13.073846,20636400
7/16/13,14.57,15.34,14.57,15.28,13.617475,9328500
7/17/13,15.36,15.96,15.29,15.89,14.161106,13411100
7/18/13,15.94,16.1,15.33,15.47,13.786802,10825700
7/19/13,15.35,16.08,15.26,15.97,14.2324,11658700
7/22/13,16.09,16.129999,15.61,15.73,14.018514,6141600
7/23/13,15.69,15.87,15.54,15.65,13.947219,9298400
7/24/13,15.65,15.89,15.42,15.71,14.000689,6205200
7/25/13,15.66,15.87,15.45,15.57,13.875923,7069700
7/26/13,15.54,15.97,15.31,15.89,14.161106,5884800
7/29/13,15.87,15.87,15.4,15.51,13.82245,9020200
7/30/13,15.6,15.96,15.46,15.95,14.214577,12798200
7/31/13,16,16.209999,15.83,15.93,14.196754,7681500
8/1/13,15.94,16.280001,15.94,16.209999,14.446287,10303300
8/2/13,16.15,16.469999,16.120001,16.34,14.562142,8258600
8/5/13,16.33,16.33,15.89,16,14.259135,8754100
8/6/13,15.99,16.25,15.82,16.18,14.419552,6232000
8/7/13,16.15,16.15,15.85,15.95,14.214577,4755000
8/8/13,16.07,16.309999,15.91,16.129999,14.374989,7110400
8/9/13,16.09,16.16,15.96,15.98,14.241314,4293800
8/12/13,15.88,16.059999,15.74,15.92,14.18784,4882400
8/13/13,15.91,15.95,15.8,15.83,14.107632,3615400
8/14/13,15.83,16.01,15.66,15.9,14.170016,3940500
8/15/13,15.79,16.190001,15.7,16.1,14.348256,5160000
8/16/13,16.040001,16.25,15.96,15.98,14.241314,6373200
8/19/13,16.049999,16.059999,15.69,15.7,13.991778,6123600
8/20/13,15.83,15.83,15.52,15.7,13.991778,4265600
8/21/13,15.61,15.78,15.49,15.76,14.045249,5040000
8/22/13,15.76,15.82,15.63,15.71,14.000689,3731700
8/23/13,15.71,15.79,15.57,15.75,14.036336,3981300
8/26/13,15.79,15.9,15.71,15.86,14.134369,4125000
8/27/13,15.75,16,15.69,15.73,14.018514,9059500
8/28/13,15.76,15.81,15.68,15.76,14.045249,11099300
8/29/13,15.73,15.89,15.64,15.77,14.054162,2795500
8/30/13,15.75,15.78,15.59,15.7,13.991778,5386300
9/3/13,15.89,16.030001,15.69,15.78,14.06307,3783600
9/4/13,15.79,16.08,15.76,16.030001,14.285872,4992000
9/5/13,15.97,16.27,15.88,16.24,14.473023,3521200
9/6/13,16.309999,16.34,16.08,16.190001,14.428463,3358700
9/9/13,16.16,16.34,16.16,16.34,14.562142,3668900
9/10/13,16.379999,16.57,16.25,16.549999,14.749293,4292100
9/11/13,16.65,17.059999,16.5,17.049999,15.194891,7562700
9/12/13,17.120001,17.26,16.940001,17.110001,15.248363,4836500
9/13/13,17.059999,17.08,16.77,16.889999,15.052302,2717700
9/16/13,17.120001,17.200001,16.780001,16.959999,15.114685,5758300
9/17/13,17.030001,17.17,16.889999,17,15.150335,2538500
9/18/13,16.99,17.18,16.84,17.049999,15.194891,3862600
9/19/13,17.1,17.1,16.66,16.870001,15.034479,3286100
9/20/13,16.92,17,16.469999,16.639999,14.829498,4594000
9/23/13,16.620001,16.639999,16.370001,16.530001,14.731471,2360000
9/24/13,16.530001,17.200001,16.5,17.040001,15.18598,5611800
9/25/13,17.030001,17.040001,16.68,16.799999,14.972092,4389700
9/26/13,16.77,16.870001,16.1,16.290001,14.517583,12737900
9/27/13,16.1,16.25,15.99,16.17,14.41064,7098300
9/30/13,16.200001,16.26,15.91,16.059999,14.312607,6237900
10/1/13,16.049999,16.139999,15.8,15.91,14.178929,8815300
10/2/13,15.85,16.27,15.7,16.139999,14.383904,17758200
10/3/13,16.139999,16.25,15.79,15.87,14.14328,17833500
10/4/13,15.84,16.01,15.79,15.84,14.116544,13660000
10/7/13,15.7,15.98,15.69,15.91,14.178929,8663200
10/8/13,15.51,15.98,15.51,15.8,14.080897,4825300
10/9/13,15.8,15.95,15.75,15.88,14.152191,4210300
10/10/13,15.98,16.25,15.94,16.219999,14.455199,5506700
10/11/13,16.16,16.6,16.139999,16.41,14.624527,5085700
10/14/13,16.309999,16.620001,16.23,16.559999,14.758206,3606300
10/15/13,16.459999,16.67,16.42,16.58,14.776031,4406800
10/16/13,16.719999,16.790001,16.57,16.780001,14.954269,4511900
10/17/13,16.639999,16.809999,16.629999,16.799999,14.972092,3972000
10/18/13,16.85,16.9,16.75,16.85,15.016654,5809100
10/21/13,16.860001,16.98,16.790001,16.85,15.016654,3107000
10/22/13,16.889999,17.059999,16.790001,17,15.150335,7274300
10/23/13,16.799999,17.24,16.799999,17.110001,15.248363,5145800
10/24/13,17.07,17.4,17.02,17.290001,15.408779,4734900
10/25/13,17.549999,17.549999,17.09,17.15,15.284011,6197900
10/28/13,17.120001,17.32,17.030001,17.290001,15.408779,4131800
10/29/13,17.299999,17.51,17.24,17.459999,15.560283,6582700
10/30/13,17.459999,17.51,17.309999,17.35,15.462252,8031100
10/31/13,17.370001,17.77,17.34,17.6,15.685048,4697900
11/1/13,17.620001,17.809999,17.450001,17.77,15.836554,3714000
11/4/13,17.73,17.860001,17.67,17.76,15.82764,2870800
11/5/13,17.57,17.85,17.48,17.68,15.756349,3820200
11/6/13,17.73,17.82,17.35,17.41,15.515721,3922700
11/7/13,17.51,17.620001,17.25,17.26,15.382043,3888200
11/8/13,17.309999,17.620001,17.17,17.6,15.685048,1787500
11/11/13,17.6,17.65,17.35,17.42,15.524639,5387300
11/12/13,16.85,17.309999,16.719999,17.15,15.284011,12944400
11/13/13,17.02,17.290001,16.950001,17.219999,15.346395,3673400
11/14/13,17.24,17.379999,17.18,17.25,15.373127,2920600
11/15/13,17.32,17.809999,17.32,17.76,15.82764,4606300
11/18/13,17.77,17.82,17.370001,17.42,15.524639,4431400
11/19/13,17.43,17.66,17.379999,17.48,15.578106,2961800
11/20/13,17.540001,17.790001,17.450001,17.67,15.74743,6256400
