Date,Open,High,Third Day P Close
6/24/13,15.64,15.84,15.8
6/25/13,15.55,15.74,15.3
6/26/13,15.69,15.69,15.62
6/27/13,15.34,15.87,15.53
6/28/13,15.5,15.77,15.72
7/1/13,14.79,15.59,15.4
7/2/13,14.69,15.12,15.5
7/3/13,14.95,15.09,15.25
7/5/13,14.95,15.95,14.79
7/8/13,15.63,16.040001,15
7/9/13,15.79,15.97,14.87
7/10/13,15.5,15.57,15.66
7/11/13,15.6,15.6,15.96
7/12/13,15.07,15.12,15.71
7/15/13,14.93,15.03,15.39
7/16/13,14.57,15.34,15.13
7/17/13,15.36,15.96,14.93
7/18/13,15.94,16.1,14.67
7/19/13,15.35,16.08,15.28
7/22/13,16.09,16.129999,15.89
7/23/13,15.69,15.87,15.47
7/24/13,15.65,15.89,15.97
7/25/13,15.66,15.87,15.73
7/26/13,15.54,15.97,15.65
7/29/13,15.87,15.87,15.71
7/30/13,15.6,15.96,15.57
7/31/13,16,16.209999,15.89
8/1/13,15.94,16.280001,15.51
8/2/13,16.15,16.469999,15.95
8/5/13,16.33,16.33,15.93
8/6/13,15.99,16.25,16.209999
8/7/13,16.15,16.15,16.34
8/8/13,16.07,16.309999,16
8/9/13,16.09,16.16,16.18
8/12/13,15.88,16.059999,15.95
8/13/13,15.91,15.95,16.129999
8/14/13,15.83,16.01,15.98
8/15/13,15.79,16.190001,15.92
8/16/13,16.040001,16.25,15.83
8/19/13,16.049999,16.059999,15.9
8/20/13,15.83,15.83,16.1
8/21/13,15.61,15.78,15.98
8/22/13,15.76,15.82,15.7
8/23/13,15.71,15.79,15.7
8/26/13,15.79,15.9,15.76
8/27/13,15.75,16,15.71
8/28/13,15.76,15.81,15.75
8/29/13,15.73,15.89,15.86
8/30/13,15.75,15.78,15.73
9/3/13,15.89,16.030001,15.76
9/4/13,15.79,16.08,15.77
9/5/13,15.97,16.27,15.7
9/6/13,16.309999,16.34,15.78
9/9/13,16.16,16.34,16.030001
9/10/13,16.379999,16.57,16.24
9/11/13,16.65,17.059999,16.190001
9/12/13,17.120001,17.26,16.34
9/13/13,17.059999,17.08,16.549999
9/16/13,17.120001,17.200001,17.049999
9/17/13,17.030001,17.17,17.110001
9/18/13,16.99,17.18,16.889999
9/19/13,17.1,17.1,16.959999
9/20/13,16.92,17,17
9/23/13,16.620001,16.639999,17.049999
9/24/13,16.530001,17.200001,16.870001
9/25/13,17.030001,17.040001,16.639999
9/26/13,16.77,16.870001,16.530001
9/27/13,16.1,16.25,17.040001
9/30/13,16.200001,16.26,16.799999
10/1/13,16.049999,16.139999,16.290001
10/2/13,15.85,16.27,16.17
10/3/13,16.139999,16.25,16.059999
10/4/13,15.84,16.01,15.91
